addressText,price,href,created,broadband
"177 Davidsons Road, Lincoln, Selwyn","Enquiries over $950,000",property/residential/sale/canterbury/selwyn/lincoln/listing/4897662557?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.350Z,None
"21 Ngapuke Lane, Parua Bay, Whangarei","Asking price $890,000",/a/property/residential/sale/northland/whangarei/parua-bay/listing/4896323181?rsqid=2536fa4924e844f68126b491f1938044-002,2024-10-07T07:38:35.484Z,"ADSL, Wireless"
"627 Helmsdale Road, Waipu, Whangarei","Asking price $899,000",/a/property/residential/sale/northland/whangarei/waipu/listing/4896275256?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:35.733Z,Wireless
"8 Meadow Lane, Pakaraka, Kerikeri, Far North","Asking price $895,000",/a/property/residential/sale/northland/far-north/kerikeri/listing/4896230596?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.210Z,"ADSL, Wireless"
"3971 State Highway 1, Waipu, Whangarei","Asking price $989,000",/a/property/residential/sale/northland/whangarei/waipu/listing/4895938925?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.227Z,"ADSL, Wireless"
"297 Homestead Road, Weston, Waitaki","Enquiries over $979,000",property/residential/sale/otago/waitaki/weston/listing/4894845753?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.245Z,None
"224A Petley Road, Paparoa, Kaipara","Auction on 18 Oct, 1:00pm",/a/property/residential/sale/northland/kaipara/paparoa/listing/4892925493?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.271Z,Wireless
"Lot 1 / 1372 Manawhe Road, Matata, Whakatane","Asking price $1,035,000",property/new-homes/house-land/bay-of-plenty/whakatane/matata/listing/4889823850?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.297Z,None
"Lot 7 / 1372 Manawahe Road, Matata, Whakatane","Asking price $1,240,000",property/new-homes/house-land/bay-of-plenty/whakatane/matata/listing/4889820664?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.318Z,None
"Lot 6 / 1372 Manawahe Road, Matata, Whakatane","Asking price $1,207,000",property/new-homes/house-land/bay-of-plenty/whakatane/matata/listing/4889815253?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.342Z,None
"Lot 4 / 1372 Manawahe Road, Matata, Whakatane","Asking price $1,310,000",property/new-homes/house-land/bay-of-plenty/whakatane/matata/listing/4889814805?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.362Z,None
"Lot 3 / 1372 Manawahe Road, Matata, Whakatane","Asking price $1,110,000",property/new-homes/house-land/bay-of-plenty/whakatane/matata/listing/4889812495?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.444Z,None
"Lot 2 / 1372 Manawahe Road, Matata, Whakatane","Asking price $977,000",property/new-homes/house-land/bay-of-plenty/whakatane/matata/listing/4889805003?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.470Z,None
"1160/25 Fairdown Road, SH67, Waimangaroa, Buller","Asking price $495,000",property/residential/sale/west-coast/buller/waimangaroa/listing/4888063192?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.494Z,None
"413 State Highway 1, Otaika, Whangarei","Asking price $895,000",/a/property/residential/sale/northland/whangarei/otaika/listing/4888028884?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.512Z,"ADSL, Wireless"
"194 Waimanu Road, Pukeatua, Waipa",Price by negotiation,/a/property/residential/sale/waikato/waipa/pukeatua/listing/4879546536?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.536Z,"ADSL, VDSL, Wireless"
"9 Omaikao Road, Ngunguru, Whangarei","Asking price $775,000",/a/property/residential/sale/northland/whangarei/ngunguru/listing/4874296474?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.555Z,"ADSL, VDSL, Wireless"
"683F Puketona Road, Paihia, Far North","Asking price $895,000",/a/property/residential/sale/northland/far-north/paihia/listing/4872643623?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.810Z,Wireless
"Lot 0 Cabbage Tree Bay Road, Opononi, Far North",Price by negotiation,/a/property/residential/sale/northland/far-north/opononi/listing/4872474055?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.935Z,"ADSL, VDSL, Wireless"
"145 Motuiti Road, Foxton, Horowhenua","Asking price $1,229,000",property/new-homes/house-land/manawatu-whanganui/horowhenua/foxton/listing/4866588052?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.962Z,None
"Lot 11 Alpine Drive, Carterton, Carterton","Asking price $1,280,000",property/new-homes/house-land/wellington/carterton/carterton/listing/4866177874?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:36.981Z,None
"4435 Kaipara Coast Highway , Tauhoa, Rodney","Asking price $699,000",property/residential/sale/auckland/rodney/tauhoa/listing/4864456401?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:37.000Z,None
"292 Opito Bay Road, Kerikeri, Far North","Asking price $799,000",/a/property/residential/sale/northland/far-north/kerikeri/listing/4861218592?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:37.032Z,"ADSL, VDSL, Wireless"
"35 Keilor Road, Otumoetai, Tauranga",Price by negotiation,/a/property/residential/sale/bay-of-plenty/tauranga/otumoetai/listing/4860964466?rsqid=394c699ed35b4c4f98cdfefe67ede937-003,2024-10-07T07:38:37.049Z,"Fibre, ADSL, Wireless"
"Lot 3 / 820 Waimate North Road, Kerikeri, Far North","Asking price $1,359,000",property/new-homes/house-land/northland/far-north/kerikeri/listing/4854174940?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:37.830Z,None
"Lot 2 / 820 Waimate North Road, Kerikeri, Far North","Asking price $798,000",property/new-homes/house-land/northland/far-north/kerikeri/listing/4854164602?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:37.862Z,None
"80 Reay Mackay Grove, Waikawa Beach, Horowhenua",Price by negotiation,/a/property/residential/sale/manawatu-whanganui/horowhenua/waikawa-beach/listing/4849559016?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:37.881Z,Wireless
"Lot 2 Hikuawa Road, Okoia, Whanganui","Asking price $1,170,575",property/new-homes/house-land/manawatu-whanganui/whanganui/okoia/listing/4849273715?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:37.900Z,None
"Lot 9 Hikuawa Road, Okoia, Whanganui","Asking price $1,127,400",property/new-homes/house-land/manawatu-whanganui/whanganui/okoia/listing/4849263312?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:37.948Z,None
"29 Whakapaki Street, Urenui, New Plymouth","Enquiries over $955,000",/a/property/residential/sale/taranaki/new-plymouth/urenui/listing/4844858098?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:37.972Z,"Fibre, ADSL, VDSL, Wireless"
"285 Old Glen Lyon Road, Twizel, Mackenzie","Asking price $860,000",/a/property/residential/sale/canterbury/mackenzie/twizel/listing/4841259496?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:37.990Z,None
"406 Rutherglen Road, Marsden, Grey","Asking price $595,000",property/residential/sale/west-coast/grey/marsden/listing/4841221880?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.008Z,None
"Lot 10 Rusthall Estate, Okoia, Whanganui","Asking price $1,248,400",property/new-homes/house-land/manawatu-whanganui/whanganui/okoia/listing/4841168760?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.025Z,None
" Barkers Estate, Loburn, Waimakariri","Asking price $1,278,900",property/new-homes/house-land/canterbury/waimakariri/loburn/listing/4839250943?rsqid=902f1ea48731474387b8dacba4ad6236-004,2024-10-07T07:38:38.043Z,None
